"published_date",doi,title,authors,affiliations
"September 20th 2019, 00:00:00.000","10.1080/17455030.2019.1667554","Dynamic response of two adjacent semi-cylindrical alluvial inclusions embedded in a bi-material half space surface by SH waves","[""Paeksan Jang"",""Kumchol Yun"",""Unyong Paek"",""Yongguk Ri"",""Hyeyong Pak"",""Myongguk Sok""]","[""Faculty of Physics Science, Kim Chaek University of Technology, Pyongyang, D. P. R. Korea"",""Institute of Nano-Physical Engineering, Kim Chaek University of Technology, Pyongyang, D. P. R. Korea"",""Department of Engineering Machine, Pyongyang University of Mechanical Engineering, Pyongyang, D. P. R. Korea"",""Faculty of Mechanics, Kim II Sung University, Pyongyang, D. P. R. Korea""]"
"September 6th 2019, 00:00:00.000","10.1142/s0217979219502357","Entanglement of two distant quantum dots with the flip-flop interaction coupled to plasmonic waveguide","[""Myong-Chol Ko"",""Nam-Chol Kim"",""Ju-Song Ryom"",""Su-Ryon Ri"",""Jian-Bo Li""]","[""Faculty of Physics, Kim Il Sung University, Pyongyang, DPR of Korea"",""Institute of Mathematics and Physics, Central South University of Forestry and Technology, Changsha 410004, P. R. China""]"
"August 13th 2019, 00:00:00.000","10.1111/1365-2478.12858","2D data‐space joint inversion of MT, gravity, magnetic, and seismic data with cross‐gradient constraints","[""Rongzhe Zhang"",""Tonglin Li"",""Xinhui Deng"",""Xingguo Huang"",""Yongchol PAK""]","[""Kimchaek University of Technology Pyongyang 999093 Democratic People's Republic of Korea"",""College of Geo‐Exploration Sciences and TechnologyJilin University No.938 Xi minzhu street Changchun 130026 China"",""Changchun Institute of Technology Changchun 130021 China"",""Department of Earth ScienceUniversity of Bergen Allegate 41 5020 Bergen Norway""]"
"August 10th 2019, 00:00:00.000","10.1111/exd.14018","The non‐homogenous distribution and aggregation of carotenoids in the stratum corneum correlates with the organization of intercellular lipids in vivo","[""ChunSik Choe"",""JaeRyong Ri"",""Johannes Schleusener"",""Juergen Lademann"",""Maxim E. Darvin""]","[""Kim Il Sung University Ryongnam‐Dong Taesong District Pyongyang"",""Charité – Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt‐Universität zu Berlin, and Berlin Institute of Health, Department of Dermatology, Venerology and Allergology, Center of Experimental and Applied Cutaneous Physiology Charitéplatz 1 10117Berlin Germany""]"
"July 30th 2019, 00:00:00.000","10.1111/phen.12300","Influence of green light at night on Juvenile hormone in the oriental armyworm Mythimna separata (Lepidoptera: Noctuidae)","[""Kil‐Nam Kim"",""Un‐Chol Sin"",""Yun‐Chol Jo"",""Zhi‐Juan Huang"",""Ali Hassan"",""Qiu‐Ying Huang"",""Chao‐Liang Lei""]","[""Institute of ZoologyState Academy of Sciences Pyongyang Democratic People's Republic of Korea"",""Hubei Insect Resources Utilization and Sustainable Pest Management Key LaboratoryCollege of Plant Science and Technology, Huazhong Agricultural University Wuhan China"",""Institute for BiodiversityState Academy of Sciences Pyongyang Democratic People's Republic of Korea"",""Pyongyang Medical CollegeKim Il Sung University Pyongyang Democratic People's Republic of Korea""]"
"July 24th 2019, 00:00:00.000","10.1098/rsos.190882","Study on synthesis and application of tetrabasic lead sulfate as the positive active material additive for lead-acid batteries","[""Myonghak Kim"",""Mungi Kim"",""Cholnam Ri"",""Songchol Jong"",""Ilman Pak"",""Ganghyok Kim"",""Mun Ri""]","[""Institute for Electronic Materials, Kim II Sung University, Pyongyang, Democratic People's Republic of Korea"",""Faculty of Applied Chemical Engineering, Kim Chaek University of Technology, No. 60 Pyongyang Kyogu, Democratic People's Republic of Korea"",""School of Chemical Engineering, China University of Petroleum, No. 66 Changjiang West Road, Qingdao 266580, People's Republic of China""]"
"July 3rd 2019, 00:00:00.000","10.1080/09537325.2019.1636960","Analysis of the development trends and innovation characteristics of Internet of Things technology – based on patentometrics and bibliometrics","[""Xiang Li"",""Chanil Pak"",""Kexin Bi""]","[""Information Center, Kim Chaek University of Technology, PyongYang, Democratic People’s Republic of Korea"",""School of Economics and Management, Harbin Engineering University, Harbin, People’s Republic of China""]"
"July 2nd 2019, 00:00:00.000","10.1002/prot.25767","Estimation of model accuracy in CASP13","[""Jianlin Cheng"",""Myong‐Ho Choe"",""Arne Elofsson"",""Kun‐Sop Han"",""Jie Hou"",""Ali H. A. Maghrabi"",""Liam J. McGuffin"",""David Menéndez‐Hurtado"",""Kliment Olechnovič"",""Torsten Schwede"",""Gabriel Studer"",""Karolis Uziela"",""Česlovas Venclovas"",""Björn Wallner""]","[""Institute of Biotechnology, Life Sciences Center, Vilnius University, Saulėtekio 7 Vilnius Lithuania"",""Department of Electrical Engineering and Computer ScienceUniversity of Missouri Columbia Missouri USA"",""SIB Swiss Institute of Bioinformatics, Biozentrum, University of Basel, Klingelbergstrasse 50‐70 Basel Switzerland"",""School of Biological Sciences, University of Reading, Whiteknights Reading UK"",""Biozentrum, University of Basel, Klingelbergstrasse 50‐70 Basel Switzerland"",""Department of Biochemistry and Biophysics and Science for Life LaboratoryStockholm University Stockholm Sweden"",""Department of Physics, Chemistry, and Biology, Bioinformatics DivisionLinköping University Linköping Sweden"",""Department of Life ScienceUniversity of Science, Unjong‐District Pyongyang DPR Korea""]"
"July 1st 2019, 00:00:00.000","10.1080/14786435.2019.1631499","The first Brillouin zone of the hexagonal close-packed structure and study on the properties of vacancies and phonon dispersions by the improved ones of the modified analytic embedded atom method potentials for Ru, Sc, Ti, Y, and Zr","[""Chong-Guk Jon"",""Hak-Son Jin"",""Chol-Man Ri"",""Pom Song""]","[""Faculty of Energy Science, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"June 28th 2019, 00:00:00.000","10.1002/ps.5536","Advances in insect phototaxis and application to pest management: A review","[""Kil-Nam Kim"",""Qiu-Ying Huang"",""Chao-Liang Lei""]","[""Hubei Insect Resources Utilization and Sustainable Pest Management Key Laboratory, College of Plant Science and Technology, Huazhong Agricultural University; Wuhan Hubei 430070 China"",""The Institute for Biodiversity; State Academy of Sciences; Pyongyang 00850 Democratic People's Republic Korea""]"
"June 19th 2019, 00:00:00.000","10.1155/2019/6457548","Existence and Continuous Dependence on Initial Data of Solution for Initial Value Problem of Fuzzy Multiterm Fractional Differential Equation","[""Huichol Choi"",""Kinam Sin"",""Sunae Pak"",""Sungryol So""]","[""Institute of Advanced Science, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea"",""Faculty of Mathematics, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"June 17th 2019, 00:00:00.000","10.1155/2019/5129013","Constructive Existence of (1,1)-Solutions to Two-Point Value Problems for Fuzzy Linear Multiterm Fractional Differential Equations","[""HuiChol Choi"",""SungHyok Kwon"",""Kinam Sin"",""Sunae Pak"",""Sungryol So""]","[""Information Technology Institute, University of Sciences, Pyongyang, Democratic People’s Republic of Korea"",""Faculty of Mathematics, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"June 1st 2019, 00:00:00.000","10.1061/(asce)em.1943-7889.0001595","Numerical Evaluation of Fatigue Crack Growth Rate of Hot-Rolled 16Mn Steel Based on Compliance Method","[""Hak Jin Song"",""Sun Jong Jon"",""Gi Chol Yang""]","[""Associate Professor, Dept. of Mechanics of Materials, Kim Chaek Univ. of Technology, Pyongyang, Democratic People’s Republic of Korea (corresponding author)."",""Professor, Dept. of Scientific Research, Kim Chaek Univ. of Technology, Pyongyang, Democratic People’s Republic of Korea."",""Associate Professor, Laboratory of Power-Driven Machine, Kim Chaek Univ. of Technology, Pyongyang, Democratic People’s Republic of Korea.""]"
"June 1st 2019, 00:00:00.000","10.1089/acu.2019.1333","Eastern Medicine Needs Substantiation by Scientific Research","[""SungSik Kim"",""GuiSuk Ju""]","[""Institute of Vertebral Column and Child Behavior Developmental Disability, Pyongyang Medical College of Kim Il Sung University, Pyongyang, Democratic People's Republic of Korea."",""Unit of Meridian-Acupuncture–Moxibustion, Pyongyang Medical College of Kim Il Sung University, Pyongyang, Democratic People's Republic of Korea.""]"
"May 31st 2019, 00:00:00.000","10.1142/s0217979219501388","Numerical study for increasement of low frequency sound insulation of double-panel structure using sonic crystals with distributed Helmholtz resonators","[""Myong-Jin Kim""]","[""Department of Physics, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"May 31st 2019, 00:00:00.000","10.1080/07060661.2019.1625947","Molecular analysis of a divergent isolate of Potato virus H from potato reveals novel evolutionary feature of Carlaviruses","[""Jiahui Liu"",""Lili Zhang"",""Feifei Xu"",""Mengzhu Chai"",""Xiaodong Wu"",""Unsong Kim"",""Dianqiu Lv"",""Xiaoyun Wu"",""Xiaoxia Wu"",""Xiaofei Cheng""]","[""College of Agriculture, Northeast Agriculture University, Harbin 150030, Heilongjiang, China."",""Virus-free Seedling Research Institute, Heilongjiang Academy of Agricultural Sciences, Harbin 150086, Heilongjiang, China."",""Department of Biology, Pyongyang Agricultural University, Pyongyang, Democratic People’s Republic of Korea.""]"
"May 26th 2019, 00:00:00.000","10.1155/2019/2401818","Dynamically Dimensioned Search Embedded with Piecewise Opposition-Based Learning for Global Optimization","[""Jianzhong Xu"",""Fu Yan"",""Kumchol Yun"",""Sakaya Ronald"",""Fengshu Li"",""Jun Guan""]","[""School of Economics and Management, Harbin Engineering University, Harbin 150001, China"",""College of Civil and Building Engineering, Kyambogo University, Kampala, Uganda"",""Faculty of Mechanics, Kim Il Sung University, Pyongyang 950003, Democratic People’s Republic of Korea"",""College of Economics and Management, Northeast Forestry University, Harbin 150040, China""]"
"May 17th 2019, 00:00:00.000","10.1520/jte20180959","A Study on the One-Dimensional Flood Numerical Analysis Method in Open Channels of Cascade Barrage Network","[""Yong-Gun Kim"",""Pyol Kim"",""Myong-Bong Jo"",""Song-Nam Oh"",""Chung-Hyok Paek""]","[""Faculty of Geology, Kim Il Sung University, No. 50 Ryongnam-dong, Ryomyong St., Daesong District, Pyongyang 999093, Democratic People’s Republic of Korea"",""Faculty of Global Environmental Science, Kim Il Sung University, No. 50 Ryongnam-dong, Ryomyong St., Daesong District, Pyongyang 999093, Democratic People’s Republic of Korea (Corresponding author), e-mail: 18846411434@163.com, https://orcid.org/0000-0002-6501-1945"",""Faculty of Global Environmental Science, Kim Il Sung University, No. 50 Ryongnam-dong, Ryomyong St., Daesong District, Pyongyang 999093, Democratic People’s Republic of Korea""]"
"May 14th 2019, 00:00:00.000","10.1002/itl2.108","A collision window tree algorithm improved by fixed-window and parallel-matching schemes","[""Kyongjin Sok"",""Gon Hong"",""Chongil Rim"",""Unjin Pak"",""Kinam Sin""]","[""Department of Automation engineering; Kim Chaek University of Technology; Pyongyang DPR Korea"",""Institute of Information Technology; University of Sciences; Pyongyang DPR Korea"",""Department of Automation Engineering; Pyongyang University of Mechanical Engineering; Pyongyang DPR Korea"",""Faculty of Mathematics; Kim Il Sung University; Pyongyang DPR Korea""]"
"April 29th 2019, 00:00:00.000","10.1142/s0217979219501054","Phonon dispersion relationship and oxygen isotope effect in superconductor LaFeAsO","[""Myong Chol Pak"",""Chol Won Ri"",""Hak Chol Pak"",""Kum Hyok Jong""]","[""Department of Physics, Kim Il Sung University, Ryongnam Dong, Taesong District Pyongyang, Democratic People’s Republic of Korea""]"
"April 17th 2019, 00:00:00.000","10.2174/2211550108666190417113342","Selection of a Single Chain Variable Fragment Antibody (scFv) against Subtilisin BRC and its Interaction with Subtilisin BRC","[""Chol-Jin Kim"",""Sunll Choe"",""Kum-Chol Ri"",""Chol-Ho Kim"",""Hyon-Gwang Li"",""Un-Hui Yun""]","[""Biological Industry Institute, Kim Il-sung University, Pyongyang, Korea"",""School of Management, Harbin Institute of Technology, Harbin, China""]"
"April 1st 2019, 00:00:00.000","10.1061/(asce)hz.2153-5515.0000436","Purification of Radioactive Contaminated Water with a Column Charged with Several Adsorbents","[""Song-Yon Pak"",""Ho-Song Pak""]","[""Associated Professor, Radiochemistry Dept., Energy Science College of Kim Il Sung Univ., Taesong District, Pyongyang, Democratic People’s Republic of Korea."",""Radiochemistry Dept., Energy Science College of Kim Il Sung Univ., Taesong District, Pyongyang, Democratic People’s Republic of Korea (corresponding author).""]"
"April 1st 2019, 00:00:00.000","10.1002/we.2334","New architecture and SCADA for stand‐alone hybrid (medium‐sized asynchronous wind turbine + UPS with battery + photovoltaic array) power system without diesel generator","[""Ki Yong Choe"",""Ho Kim"",""Jong U Li"",""Chung Il Hyon"",""Il Yong Kang""]","[""Faculty of AutomaticsKim Chaek University of Technology Pyongyang DPR of Korea"",""School of Science and EngineeringKim Chaek University of Technology Pyongyang DPR of Korea""]"
"March 28th 2019, 00:00:00.000","10.1002/jrs.5596","Modified normalization method in in vivo stratum corneum analysis using confocal Raman microscopy to compensate nonhomogeneous distribution of keratin","[""Chunsik Choe"",""Sehyok Choe"",""Johannes Schleusener"",""Jürgen Lademann"",""Maxim E. Darvin""]","[""Center of Experimental and Applied Cutaneous Physiology, Department of Dermatology, Venerology and AllergologyCharité–Universitätsmedizin Berlin Berlin Germany"",""Biomedical Materials Division, Faculty of Material ScienceKim Il Sung University Pyongyang DPR Korea""]"
"March 26th 2019, 00:00:00.000","10.1080/10739149.2019.1594248","Influence of temperature and humidity on the detection of benzene vapor by a piezoelectric crystal sensor","[""Kang-Il Kim"",""Chan-Hyon Han"",""Yong-A Choe"",""Kyong-Sik Ju"",""Dok-Hwan Ri"",""Su-Bom Ri"",""SuNam Kim""]","[""Institute of Analytical Instrument, Kim Chaek university of technology, Pyongyang, Democratic People’s Republic of Korea"",""Institute of Advanced Science, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea;""]"
"March 25th 2019, 00:00:00.000","10.1080/1536383x.2018.1480477","The enhanced and polarized Raman spectra on the spherical aluminum powders encapsulated within graphene nanosheets","[""Jong-Min Ju"",""Guofeng Wang"",""Dang-Ho Kim"",""Tok-Chol Yu"",""Kyong-Song Pak""]","[""Department of Materials Science and Engineering, Kimchaek University of Technology, Pyongyang, Democratic People's Republic of Korea"",""National Key Laboratory of Precision Hot Processing of Metals, Harbin Institute of Technology, Harbin, China;""]"
"March 22nd 2019, 00:00:00.000","10.1021/acs.jpcc.9b01552","Vacancy-Driven Stabilization of the Cubic Perovskite Polymorph of CsPbI3","[""Yun-Hyok Kye"",""Chol-Jun Yu"",""Un-Gi Jong"",""Kum-Chol Ri"",""Jin-Song Kim"",""Song-Hyok Choe"",""Song-Nam Hong"",""Shuzhou Li"",""Jacob N. Wilson"",""Aron Walsh""]","[""Department of Materials, Imperial College London, London SW7 2AZ, United Kingdom"",""School of Materials Science and Engineering, Nanyang Technological University, Nanyang Avenue, 639798, Singapore"",""Chair of Computational Materials Design, Faculty of Materials Science, Kim Il Sung University, Ryongnam-Dong, Taesong District, Pyongyang, Democratic People’s Republic of Korea""]"
"March 14th 2019, 00:00:00.000","10.2174/2211536608666190314122725","The Klf6 Super Enhancer Modulates Cell Proliferation via MiR-1301 in Human Hepatoma Cells","[""KumChol Ri"",""Chol Kim"",""CholJin Pak"",""PhyongChol Ri"",""HyonChol Om""]","[""School of Management, Harbin Institute of Technology, China"",""Life Science Department, University of Science, Pyongyang, Democratic , Korea"",""Institute of Advanced Science, KimIlSung University, Pyongyang, Democratic , Korea""]"
"March 13th 2019, 00:00:00.000","10.1021/acs.inorgchem.8b03095","First-Principles Study on Structural, Electronic, and Optical Properties of Inorganic Ge-Based Halide Perovskites","[""Un-Gi Jong"",""Chol-Jun Yu"",""Yun-Hyok Kye"",""Yong-Guk Choe"",""Wei Hao"",""Shuzhou Li""]","[""Chair of Computational Materials Design, Faculty of Materials Science, Kim Il Sung University, Ryongnam-Dong,\rTaesong District, Pyongyang, Democratic People’s Republic of Korea"",""School of Materials Science and Engineering, Nanyang Technological University, Nanyang Avenue, 639798 Singapore""]"
"March 11th 2019, 00:00:00.000","10.1080/03610926.2019.1584309","Parameter change test for periodic integer-valued autoregressive process","[""GangHyok Yu"",""SongGuk Kim""]","[""Faculty of Mathematics, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"February 26th 2019, 00:00:00.000","10.2174/1877946809666190201130606","Preparation of Surface Molecularly Imprinted Polymer for Adsorption Removal of 2,3-Dihydro-2,2-Dimethyl-7-Benzofuranyl N-Methylcarbamate","[""Cholho Pang"",""Juhyok So"",""Kyongchol So"",""Jongsu Kim"",""Juhyon Yu"",""Kyongjin Sok"",""Yongsu Hwang""]","[""Institute of Thermal Engineering, Academy of Sciences, Pyongyang 950003, Korea"",""Faculty of Life Science, KIM IL SUNG University, Pyongyang 950003, Korea"",""Information Technology Institute, University of Science, Pyongyang 950003, Korea"",""Department of Material Engineering, Kimchaek University of Technology, Pyongyang 950003, Korea"",""Department of Chemistry, University of Science, Pyongyang 950003, Korea""]"
"February 4th 2019, 00:00:00.000","10.1002/andp.201800156","Composite-Assisted Phase-Matching: Efficient Wavelength Conversion in Nonlinear Optical Composite Materials Containing Metal Nanoparticles","[""Kwang-Hyon Kim"",""Wi-Song Rim""]","[""Institute of Lasers; State Academy of Sciences; Unjong District Pyongyang Democratic People's Republic of Korea""]"
"February 4th 2019, 00:00:00.000","10.1080/03650340.2019.1575508","The use of the freshwater snail Ampullaria tischbeini (Dohrn) as a biological control agent for remediation of salt-affected soil","[""Jong-Song Jo"",""Song-Ho Pak""]","[""Department of Earth and Environmental Science, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"February 1st 2019, 00:00:00.000","10.1002/oca.2486","Optimal design of robust feedforward compensator with gain and phase specifications","[""Chung Hyok Jon"",""Ji Min Pak""]","[""Faculty of Automatics; Kim Chaek University of Technology; Pyongyang Democratic People's Republic of Korea""]"
"February 1st 2019, 00:00:00.000","10.1063/1.5079472","Chimera state on a spherical surface of nonlocally coupled oscillators with heterogeneous phase lags","[""Ryong-Son Kim"",""Chol-Ung Choe""]","[""Research Group for Nonlinear Dynamics, Department of Physics, University of Science, Unjong-District, Pyongyang, Democratic People’s Republic of Korea""]"
"January 11th 2019, 00:00:00.000","10.1080/15376494.2018.1503760","Vibration analyses of general thin and moderately thick laminated composite curved beams with variable curvatures and general boundary conditions","[""Qingshan Wang"",""Kwangnam Choe"",""Jinyuan Tang"",""Cijun Shuai"",""Ailun Wang""]","[""State Key Laboratory of High Performance Complex Manufacturing, Central South University, Changsha, People's Republic of China;"",""Department of Light Industry Machinery Engineering, Pyongyang University of Mechancial Engineering, Pyongyang, People's Republic of Korea""]"
"January 10th 2019, 00:00:00.000","10.1021/acs.inorgchem.8b02962","Two-Dimensional Hybrid Composites of SnS2 with Graphene and Graphene Oxide for Improving Sodium Storage: A First-Principles Study","[""Kum-Chol Ri"",""Chol-Jun Yu"",""Jin-Song Kim"",""Song-Hyok Choe""]","[""Computational Materials Design, Faculty of Materials Science, Kim Il Sung University, Ryongnam-Dong,\rTaesong District, Pyongyang, Democratic People’s Republic of Korea""]"
"January 2nd 2019, 00:00:00.000","10.1002/srin.201800530","Effect of Sb-Ba-Ce-Si-Fe Post Inoculants on Microstructural and Mechanical Properties of As-Cast Pearlitic Ductile Iron","[""Bok-Gyu Lia"",""Kyong-Ho Sim"",""Ryong-Chol Kim""]","[""Faculty of Material Science and Engineering; Kimchaek University of Technology; Pyongyang 950003 Democratic People's Republic of Korea""]"
"January 1st 2019, 00:00:00.000","10.1145/3341069.3342991","A Study on Features for Improving Performance of Chinese OCR by Machine Learning","[""Chul Kim"",""Jang Su Kim"",""U Ju Kim""]","[""Pyongyang University of Science and Technology, Pyongyang, Democratic People's Republic of Korea"",""George Mason University, Korea, Incheon, Republic of Korea""]"
"January 1st 2019, 00:00:00.000","10.1039/c9ra07586k","Superconducting properties and non-isothermal crystallization kinetics of a Bi2Sr2CaCu2O8+δ (Bi2212) superconductor prepared by the Pechini sol–gel method","[""Xingming Zhao"",""Tianlin Wang"",""Songchol Hong"",""Dalu Sun"",""Nan Wang"",""Guksong Chae"",""Yang Qi""]","[""Department of Materials Physics and Chemistry"",""Department of Physics and Biophysics"",""Pyongyang"",""Northeastern University"",""Shenyang"",""China Medical University"",""School of Materials Science and Engineering"",""Institute of Nano Science and Physical Engineering"",""School of Fundamental Sciences"",""P. R. China"",""Kim Chaek University of Technology"",""Democratic People's Republic of Korea""]"
"January 1st 2019, 00:00:00.000","10.1039/c8ra10524c","Preparation of mesoporous ZnAl2O4 nanoflakes by ion exchange from a Na-dawsonite parent material in the presence of an ionic liquid","[""TongIl Kim"",""HakSung Yun"",""GwangBok Han"",""Jiabiao Lian"",""Jianmin Ma"",""Xiaochuan Duan"",""Lianjie Zhu"",""Wenjun Zheng""]","[""College of Chemistry"",""Institute of Chemistry and Biology"",""Key Laboratory of Advanced Energy Materials Chemistry"",""Nankai University Tianjin"",""Pyongyang"",""School of Chemistry & Chemical Engineering"",""Tianjin University of Technology"",""D. P. R. Korea"",""TKL of Metal and Molecule-Baced Material Chemistry"",""Department of Materials Chemistry"",""University of Science"",""P. R. China"",""Tianjin 300384""]"
"September 14th 2018, 00:00:00.000","10.1080/20479700.2018.1520522","The real-time secondary information support to improve bed utilization and the decision-making","[""Choe Nam Yong"",""Chon Jae Hun""]","["" Pyongyang Medical College, Kim Il Sung University, Pyongyang, Democratic People’s Republic of Korea""]"
"September 11th 2018, 00:00:00.000","10.1002/nme.5955","An improved crack tracking algorithm with self-correction ability of crack path and its application in continuum damage model","[""Kumchol Yun"",""Tae-Jong Kim"",""Paek San Jang"",""Zhenqing Wang"",""Sakaya Ronald""]","[""College of Aerospace and Civil Engineering; Harbin Engineering University; Harbin, 150001 P.R.China"",""Institute of Nano-Physical Engineering; Kimchaek University of Technology; Pyongyang D.P.R. Korea"",""Faculty of Mechanics; Kim Il Sung University; Pyongyang D.P.R. Korea"",""Faculty of Mechanical Engineering; Kimchaek University of Technology; Pyongyang D.P.R. Korea""]"
"September 11th 2018, 00:00:00.000","10.1080/15567036.2018.1514431","A feasibility study of energy recovery of RDF from municipal solid waste","[""O Nam–Chol"",""Pak Hyo–Song"",""Sin Yong–Chol"",""Ri Yong–Hyok"",""Kim Yong–Nam""]","["" E-Library, KIM IL SUNG University, Democratic People’s Republic of Korea, Pyongyang"","" Department of Land Planning, Faculty of Global Environmental Science, KIM IL SUNG University, Democratic People’s Republic of Korea, Pyongyang"","" Department of Environmental Conservation, Faculty of Global Environmental Science, KIM IL SUNG University, Democratic People’s Republic of Korea, Pyongyang""]"
"August 9th 2018, 00:00:00.000","10.3233/jifs-18732","Application of a spectral method to Fractional Differential Equations under uncertainty1","[""Kinam Sin"",""Minghao Chen"",""Chong Wu"",""Kwang Ri"",""Huichol Choi""]","[""Department of Applied Mathematics, Kim Chaek University of Technology, Pyongyang, D.P.R. of Korea"",""Harbin Institute of Technology, Harbin PR China"",""Faculty of Mathematics, Kim Il Sung University, Pyongyang, D.P.R. of Korea""]"
